,Price,Year,Mileage,State,Vin,Make,Model,Condition,Sales_Channel
95796,17492,2017,4370,GA,1G1BF5SM4H7148295,Chevrolet,Cruzesedan,,Public
319865,18995,2012,164971,GA,1FTFW1EF8CKD76644,Ford,F-1504Wd,,Public
542986,22997,2016,34170,CA,5XYPGDA57GG009892,Kia,Sorentolx,,Public
269403,9980,2013,114895,MO,1FMCU0GX0DUA80124,Ford,Escapese,,Public
692156,19855,2013,78797,TX,JN1AZ4EH7DM881216,Nissan,370Zcoupe,,Public
593882,10995,2011,107683,TX,1YVHZ8BH9B5M01458,Mazda,Mazda64Dr,,Public
804192,24490,2011,75510,CO,3TMLU4EN9BM062302,Toyota,Tacoma4Wd,,Public
59259,19990,2015,14141,WI,KL4CJBSB2FB193389,Buick,Encoreconvenience,,Public
356595,27962,2017,20115,IL,1GKKNLLAXHZ203456,Gmc,Acadiafwd,,Public
812896,36596,2015,36112,CO,5TDDKRFH2FS144295,Toyota,Highlanderawd,,Public
797146,23999,2014,56715,CO,5TDYK3DC4ES481779,Toyota,"Siennaxle,",,Public
565882,27448,2013,64560,IL,2T2BK1BA5DC220269,Lexus,Rx,,Public
12783,11988,2011,93344,AZ,WAUBFBFM7BA032418,Audi,A34Dr,,Public
739334,19990,2012,80662,NY,JF1GR7E69CG209555,Subaru,Impreza,,Public
525573,18077,2017,15735,FL,5XXGT4L39HG132283,Kia,Optimalx,,Public
484325,19397,2017,20514,TX,1C4PJLCB6HW518021,Jeep,Cherokeelatitude,,Public
458139,15999,2014,47539,NV,KMHGC4DH5EU265232,Hyundai,Genesis5.0,,Public
217968,9540,2006,98049,MN,1D7HU16N16J140017,Dodge,Ram,,Public
210011,10599,2006,124261,CO,2B3KA53HX6H355476,Dodge,Charger4Dr,,Public
339938,6499,2004,205389,AZ,1FTPW14554FA46080,Ford,F-1504Wd,,Public
829712,12582,2014,35558,SC,3VWD07AJ6EM324038,Volkswagen,Jetta,,Public
110029,2900,2007,121216,UT,1G1AK15F277143818,Chevrolet,Cobalt2Dr,,Public
536870,13500,2013,75223,MA,5XYKTDA63DG350670,Kia,Sorentolx,,Public
43842,39000,2015,26552,OR,WBA3A9C52FKW74814,Bmw,3,,Public
319705,19900,2006,146000,MN,1FTWW31PX6EB23760,Ford,Super,,Public
70447,6995,2005,43189,TX,1G6KD54Y55U141658,Cadillac,Deville4Dr,,Public
