,Price,Year,Mileage,State,Vin,Make,Model,Condition,Sales_Channel
412,12850,2010,97155,IL,JF1GE7E62AH513507,Subaru,Impreza,Excellent,Public
413,6795,1973,51239,NC,LH23C3B467042,Dodge,Dart Swinger,Unknown,Auction
414,5500,2002,162000,LA,1FMRU15L12LA41738,Ford,Expedition,Unknown,Public
415,34981,2017,63874,OK,3C6UR5MJ8HG678839,Ram,2500,Excellent,Public
416,9989,2015,104135,NJ,NM0GE9E78F1179432,Ford,Transit Connect Wagon,Unknown,Public
417,7000,2013,130651,NY,JTDKN3DUXD1617933,Toyota,Prius One Hatchback 4D,Good,Public
418,8975,2011,65111,NJ,KM8JU3AC9BU292547,Hyundai,Tucson Limited,Excellent,Public
419,19495,2016,43253,OH,1C6RR7YT1GS229829,Ram,1500,Unknown,Public
420,23499,2015,35841,CT,SALVP2BGXFH045585,Rover,Evoque,Unknown,Public
421,33995,2017,62481,OR,5UXKR0C3XH0V71655,Bmw,X5 Xdrive35I M Sport Head-U,Unknown,Public
422,3995,2005,172000,NY,1GTDT19E578159752,Gmc,Sierra 1500,Excellent,Public
423,6995,2013,131095,TN,1G11E5SA8DF231734,Chevrolet,Malibu,Unknown,Public
424,33395,2017,39410,OR,1FM5K8HT0HGD91162,Ford,Explorer Platinum,Unknown,Public
425,1100,2000,253,CA,4T1BG22K8YU648653,Toyota,Camry,Good,Auction
426,16699,2016,88638,MN,5TDKK3DC6GS721309,Toyota,Sienna,Unknown,Public
427,15000,2006,165979,PA,1FTSW21526EA25538,Ford,F250 Xlt 4X4,Good,Public
428,9999,2015,72573,AZ,1N4AL3AP1FN875999,Nissan,Altima,Good,Public
429,19992,2016,47791,AR,WBA1G9C59GV727109,Bmw,2 Series 228I Xdrive,Good,Public
430,9499,2014,74763,NY,1g11c5sl4ef189863,Chevrolet,Malibu,Excellent,Public
431,16500,2011,105000,OK,2T2BK1BA1BC084039,Lexus,Rx 350,Excellent,Public
432,11982,2017,51022,NC,JA32U2FU5HU003823,Mitsubishi,Lancer,Excellent,Public
433,14995,2016,40056,OR,nmols6e77g12s7786,Ford,Transit,Like New,Public
434,1999,1999,208000,MN,4M2ZU55P5XUJ21568,Mercury,Mountaineer,Unknown,Auction
435,4995,2008,184194,NH,5GAEV23778J275397,Buick,Enclave,Excellent,Public
436,9199,2011,57139,AZ,JHMZE2H59BS009872,Honda,Insight,Excellent,Public
437,5999,2007,154584,NC,1GNDS13S472217068,Chevrolet,Trailblazer Lt1 2Wd,Unknown,Public
438,15750,2011,128312,AK,1FTFW1ET4BFC72505,Ford,F-150 Xlt,Excellent,Public
439,0,2016,38387,WV,JTEBU5JR2G5307718,Toyota,4Runner,Excellent,Public
440,16995,2008,134722,ID,1J4GA59158L524477,Jeep,Wrangler,Unknown,Public
441,0,2016,26563,AR,KL4CJESB2GB699758,Buick,Encore Base,Good,Public
442,14750,2016,39125,TN,1g1zh5sx9gf258041,Chevrolet,Malibu Premier,Excellent,Public
443,36995,2014,61863,OR,SALGS2WF3EA163803,Rover,Hse 4Wd,Unknown,Public
444,9950,2010,188272,WI,1FTSW2B54AEB41010,Ford,F-250,Unknown,Public
445,7499,2011,138773,NC,1FTMF1CM5BKD97636,Ford,F-150,Unknown,Public
446,19500,2018,24398,IN,JHMFC1F34JX020929,Honda,Civic Ex-T Sedan 4D,Good,Public
447,17995,2015,110197,MI,1C4RDJDG6FC702758,Dodge,Durango,Unknown,Public
448,6800,2013,216800,LA,1FM5K7B98DGB54503,Ford,Explorer,Good,Public
449,5995,2006,115529,IN,1D7HE22K76S702589,Dodge,Dakota,Excellent,Public
450,12995,2010,95945,RI,SALSF2D48AA239364,Rover,Range Sport Hse,Like New,Public
